Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2022/2023;Gemeente;Alkmaar;Totaal;Totaal;3394.00
2022/2023;Gemeente;Alkmaar;Totaal;Economie;929.00
2022/2023;Gemeente;Alkmaar;Totaal;Gedrag en maatschappij;615.00
2022/2023;Gemeente;Alkmaar;Totaal;Gezondheidszorg;429.00
2022/2023;Gemeente;Alkmaar;Totaal;Landbouw en natuurlijke omgeving;57.00
2022/2023;Gemeente;Alkmaar;Totaal;Natuur;149.00
2022/2023;Gemeente;Alkmaar;Totaal;Onderwijs;382.00
2022/2023;Gemeente;Alkmaar;Totaal;Recht;135.00
2022/2023;Gemeente;Alkmaar;Totaal;Sectoroverstijgend;23.00
2022/2023;Gemeente;Alkmaar;Totaal;Taal en cultuur;171.00
2022/2023;Gemeente;Alkmaar;Totaal;Techniek;504.00
2022/2023;Gemeente;Alkmaar;Totaal;Totaal energietransitie;653.00
2022/2023;Gemeente;Alkmaar;HBO;Totaal;2463.00
2022/2023;Gemeente;Alkmaar;HBO;Economie;805.00
2022/2023;Gemeente;Alkmaar;HBO;Gedrag en maatschappij;407.00
2022/2023;Gemeente;Alkmaar;HBO;Gezondheidszorg;325.00
2022/2023;Gemeente;Alkmaar;HBO;Landbouw en natuurlijke omgeving;44.00
2022/2023;Gemeente;Alkmaar;HBO;Onderwijs;375.00
2022/2023;Gemeente;Alkmaar;HBO;Taal en cultuur;45.00
2022/2023;Gemeente;Alkmaar;HBO;Techniek;462.00
2022/2023;Gemeente;Alkmaar;HBO;Totaal energietransitie;462.00
2022/2023;Gemeente;Alkmaar;WO;Totaal;931.00
2022/2023;Gemeente;Alkmaar;WO;Economie;124.00
2022/2023;Gemeente;Alkmaar;WO;Gedrag en maatschappij;208.00
2022/2023;Gemeente;Alkmaar;WO;Gezondheidszorg;104.00
2022/2023;Gemeente;Alkmaar;WO;Landbouw en natuurlijke omgeving;13.00
2022/2023;Gemeente;Alkmaar;WO;Natuur;149.00
2022/2023;Gemeente;Alkmaar;WO;Onderwijs;7.00
2022/2023;Gemeente;Alkmaar;WO;Recht;135.00
2022/2023;Gemeente;Alkmaar;WO;Sectoroverstijgend;23.00
2022/2023;Gemeente;Alkmaar;WO;Taal en cultuur;126.00
2022/2023;Gemeente;Alkmaar;WO;Techniek;42.00
2022/2023;Gemeente;Alkmaar;WO;Totaal energietransitie;191.00
2022/2023;Gemeente;Bergen (NH.);Totaal;Totaal;817.00
2022/2023;Gemeente;Bergen (NH.);Totaal;Economie;238.00
2022/2023;Gemeente;Bergen (NH.);Totaal;Gedrag en maatschappij;121.00
2022/2023;Gemeente;Bergen (NH.);Totaal;Gezondheidszorg;99.00
2022/2023;Gemeente;Bergen (NH.);Totaal;Landbouw en natuurlijke omgeving;18.00
