Jaar,Woonregio,Werkregio,Banen van werknemers
2014,Alkmaar,'s-Gravenhage,200
2014,Alkmaar,Alkmaar,19300
2014,Alkmaar,Almere,100
2014,Alkmaar,Amersfoort,100
2014,Alkmaar,Amstelveen,300
2014,Alkmaar,Amsterdam,5800
2014,Alkmaar,Arnhem,100
2014,Alkmaar,Bergen (NH.),1500
2014,Alkmaar,Bergen op Zoom,100
2014,Alkmaar,Beverwijk,700
2014,Alkmaar,Bloemendaal,100
2014,Alkmaar,Castricum,800
2014,Alkmaar,Den Helder,900
2014,Alkmaar,Diemen,100
2014,Alkmaar,Dijk en Waard,3400
2014,Alkmaar,Edam-Volendam,100
2014,Alkmaar,Enkhuizen,100
2014,Alkmaar,Haarlem,1700
2014,Alkmaar,Haarlemmermeer,2300
2014,Alkmaar,Heemskerk,300
2014,Alkmaar,Heiloo,1000
2014,Alkmaar,Helmond,100
2014,Alkmaar,Hilversum,100
2014,Alkmaar,Hollands Kroon,200
2014,Alkmaar,Hoorn,900
2014,Alkmaar,Koggenland,300
2014,Alkmaar,Leeuwarden,100
2014,Alkmaar,Leiden,100
2014,Alkmaar,Medemblik,200
2014,Alkmaar,Nieuwegein,100
2014,Alkmaar,Oostzaan,100
2014,Alkmaar,Opmeer,100
2014,Alkmaar,Ouder-Amstel,100
2014,Alkmaar,Purmerend,1300
2014,Alkmaar,Rotterdam,200
2014,Alkmaar,Schagen,1000
2014,Alkmaar,Texel,100
2014,Alkmaar,Tilburg,100
2014,Alkmaar,Uitgeest,100
2014,Alkmaar,Utrecht (gem),300
2014,Alkmaar,Velsen,1500
2014,Alkmaar,Vijfheerenlanden,100
2014,Alkmaar,Wormerland,100
2014,Alkmaar,Zaanstad,1700
2014,Alkmaar,Zoetermeer,100
2014,Bergen (NH.),'s-Gravenhage,100
2014,Bergen (NH.),Alkmaar,2500
2014,Bergen (NH.),Amsterdam,1000
2014,Bergen (NH.),Bergen (NH.),2900
2014,Bergen (NH.),Beverwijk,200
2014,Bergen (NH.),Castricum,400
2014,Bergen (NH.),Den Helder,200
2014,Bergen (NH.),Dijk en Waard,600
2014,Bergen (NH.),Haarlem,200
2014,Bergen (NH.),Haarlemmermeer,500
2014,Bergen (NH.),Heemskerk,100
2014,Bergen (NH.),Heiloo,300
2014,Bergen (NH.),Hoorn,100
2014,Bergen (NH.),Purmerend,100
2014,Bergen (NH.),Rotterdam,100
2014,Bergen (NH.),Schagen,400
2014,Bergen (NH.),Uitgeest,100
2014,Bergen (NH.),Velsen,400
2014,Bergen (NH.),Zaanstad,200
2014,Castricum,'s-Gravenhage,100
2014,Castricum,Alkmaar,1600
2014,Castricum,Amstelveen,100
2014,Castricum,Amsterdam,2300
2014,Castricum,Bergen (NH.),200
2014,Castricum,Beverwijk,1100
2014,Castricum,Castricum,3200
2014,Castricum,Den Helder,100
2014,Castricum,Diemen,100
2014,Castricum,Dijk en Waard,300
2014,Castricum,Edam-Volendam,100
2014,Castricum,Haarlem,700
2014,Castricum,Haarlemmermeer,600
2014,Castricum,Heemskerk,1000
2014,Castricum,Heiloo,500
2014,Castricum,Hoorn,100
2014,Castricum,Purmerend,200
2014,Castricum,Rotterdam,100
2014,Castricum,Schagen,100
2014,Castricum,Tilburg,100
2014,Castricum,Uitgeest,300
2014,Castricum,Uithoorn,100
2014,Castricum,Utrecht (gem),100
2014,Castricum,Velsen,700
2014,Castricum,Zaanstad,600
2014,Den Helder,'s-Gravenhage,100
2014,Den Helder,Alkmaar,1200
2014,Den Helder,Amsterdam,700
2014,Den Helder,Bergen (NH.),100
2014,Den Helder,Beverwijk,200
2014,Den Helder,Den Helder,15500
2014,Den Helder,Dijk en Waard,700
2014,Den Helder,Enkhuizen,100
2014,Den Helder,Haarlem,100
2014,Den Helder,Haarlemmermeer,400
2014,Den Helder,Hollands Kroon,700
2014,Den Helder,Hoorn,300
2014,Den Helder,Leeuwarden,100
2014,Den Helder,Medemblik,200
2014,Den Helder,Purmerend,100
2014,Den Helder,Rotterdam,200
2014,Den Helder,Schagen,1400
2014,Den Helder,Súdwest-Fryslân,100
2014,Den Helder,Texel,400
2014,Den Helder,Uithoorn,100
2014,Den Helder,Utrecht (gem),100
2014,Den Helder,Velsen,400
2014,Den Helder,Zaanstad,100
2014,Den Helder,Zutphen,100
2014,Drechterland,Alkmaar,300
2014,Drechterland,Amsterdam,600
2014,Drechterland,Den Helder,100
2014,Drechterland,Dijk en Waard,200
2014,Drechterland,Drechterland,1700
2014,Drechterland,Edam-Volendam,100
2014,Drechterland,Enkhuizen,500
2014,Drechterland,Haarlemmermeer,200
2014,Drechterland,Hollands Kroon,100
2014,Drechterland,Hoorn,1700
2014,Drechterland,Koggenland,100
2014,Drechterland,Lelystad,100
2014,Drechterland,Medemblik,1200
2014,Drechterland,Opmeer,100
2014,Drechterland,Purmerend,200
2014,Drechterland,Schagen,100
2014,Drechterland,Stede Broec,600
2014,Drechterland,Zaanstad,200
2014,Enkhuizen,Alkmaar,300
2014,Enkhuizen,Almere,100
2014,Enkhuizen,Amsterdam,500
2014,Enkhuizen,Den Helder,200
2014,Enkhuizen,Dijk en Waard,100
2014,Enkhuizen,Drechterland,300
2014,Enkhuizen,Enkhuizen,2500
2014,Enkhuizen,Haarlemmermeer,200
2014,Enkhuizen,Hollands Kroon,100
2014,Enkhuizen,Hoorn,900
2014,Enkhuizen,Koggenland,100
2014,Enkhuizen,Lelystad,100
2014,Enkhuizen,Medemblik,700
2014,Enkhuizen,Purmerend,100
2014,Enkhuizen,Schagen,100
2014,Enkhuizen,Stede Broec,800
2014,Enkhuizen,Zaanstad,100
2014,Enkhuizen,Zwolle,100
2014,Heiloo,'s-Gravenhage,100
2014,Heiloo,Alkmaar,1900
2014,Heiloo,Amstelveen,100
2014,Heiloo,Amsterdam,1300
2014,Heiloo,Bergen (NH.),400
2014,Heiloo,Beverwijk,300
2014,Heiloo,Castricum,500
2014,Heiloo,Den Helder,100
2014,Heiloo,Dijk en Waard,400
2014,Heiloo,Haarlem,300
2014,Heiloo,Haarlemmermeer,500
2014,Heiloo,Heemskerk,400
2014,Heiloo,Heiloo,1500
2014,Heiloo,Hoorn,100
2014,Heiloo,Purmerend,100
2014,Heiloo,Rotterdam,100
2014,Heiloo,Schagen,100
2014,Heiloo,Utrecht (gem),100
2014,Heiloo,Velsen,300
2014,Heiloo,Zaanstad,300
2014,Hollands Kroon,'s-Gravenhage,100
2014,Hollands Kroon,Alkmaar,1600
2014,Hollands Kroon,Amsterdam,700
2014,Hollands Kroon,Apeldoorn,100
2014,Hollands Kroon,Bergen (NH.),100
2014,Hollands Kroon,Beverwijk,200
2014,Hollands Kroon,Castricum,100
2014,Hollands Kroon,Den Helder,2500
2014,Hollands Kroon,Dijk en Waard,1500
2014,Hollands Kroon,Drechterland,100
2014,Hollands Kroon,Enkhuizen,100
2014,Hollands Kroon,Haarlem,200
2014,Hollands Kroon,Haarlemmermeer,400
2014,Hollands Kroon,Hollands Kroon,6000
2014,Hollands Kroon,Hoorn,700
2014,Hollands Kroon,Koggenland,200
2014,Hollands Kroon,Leeuwarden,100
2014,Hollands Kroon,Lelystad,100
2014,Hollands Kroon,Medemblik,1000
2014,Hollands Kroon,Opmeer,200
2014,Hollands Kroon,Purmerend,200
2014,Hollands Kroon,Rotterdam,100
2014,Hollands Kroon,Schagen,2500
2014,Hollands Kroon,Súdwest-Fryslân,100
2014,Hollands Kroon,Texel,300
2014,Hollands Kroon,Utrecht (gem),100
2014,Hollands Kroon,Velsen,400
2014,Hollands Kroon,Westland,200
2014,Hollands Kroon,Zaanstad,200
2014,Hoorn,'s-Gravenhage,100
2014,Hoorn,Alkmaar,2400
2014,Hoorn,Almere,100
2014,Hoorn,Amersfoort,100
2014,Hoorn,Amstelveen,200
2014,Hoorn,Amsterdam,4300
2014,Hoorn,Bergen (NH.),100
2014,Hoorn,Beverwijk,100
2014,Hoorn,Den Helder,500
2014,Hoorn,Diemen,100
2014,Hoorn,Dijk en Waard,900
2014,Hoorn,Drechterland,500
2014,Hoorn,Edam-Volendam,600
2014,Hoorn,Enkhuizen,400
2014,Hoorn,Haarlem,300
2014,Hoorn,Haarlemmermeer,1100
2014,Hoorn,Harderwijk,100
2014,Hoorn,Helmond,100
2014,Hoorn,Hilversum,100
2014,Hoorn,Hollands Kroon,200
2014,Hoorn,Hoorn,11700
2014,Hoorn,Koggenland,600
2014,Hoorn,Lelystad,300
2014,Hoorn,Medemblik,1700
2014,Hoorn,Opmeer,200
2014,Hoorn,Ouder-Amstel,100
2014,Hoorn,Purmerend,1200
2014,Hoorn,Rotterdam,100
2014,Hoorn,Schagen,300
2014,Hoorn,Stede Broec,400
2014,Hoorn,Texel,200
2014,Hoorn,Tiel,100
2014,Hoorn,Uithoorn,200
2014,Hoorn,Utrecht (gem),200
2014,Hoorn,Velsen,200
2014,Hoorn,Waterland,100
2014,Hoorn,Wormerland,100
2014,Hoorn,Zaanstad,1200
2014,Koggenland,Alkmaar,1100
2014,Koggenland,Amsterdam,700
2014,Koggenland,Beverwijk,100
2014,Koggenland,Castricum,100
2014,Koggenland,Den Helder,200
2014,Koggenland,Dijk en Waard,1000
2014,Koggenland,Drechterland,100
2014,Koggenland,Edam-Volendam,200
2014,Koggenland,Enkhuizen,100
2014,Koggenland,Haarlem,100
2014,Koggenland,Haarlemmermeer,300
2014,Koggenland,Hollands Kroon,100
2014,Koggenland,Hoorn,1200
2014,Koggenland,Koggenland,3000
2014,Koggenland,Medemblik,300
2014,Koggenland,Opmeer,300
2014,Koggenland,Purmerend,400
2014,Koggenland,Schagen,200
2014,Koggenland,Velsen,200
2014,Koggenland,Zaanstad,400
2014,Medemblik,Alkmaar,900
2014,Medemblik,Almere,100
2014,Medemblik,Amstelveen,100
2014,Medemblik,Amsterdam,1100
2014,Medemblik,Beverwijk,100
2014,Medemblik,Den Helder,300
2014,Medemblik,Deventer,100
2014,Medemblik,Dijk en Waard,500
2014,Medemblik,Drechterland,400
2014,Medemblik,Edam-Volendam,200
2014,Medemblik,Enkhuizen,1000
2014,Medemblik,Haarlem,100
2014,Medemblik,Haarlemmermeer,300
2014,Medemblik,Hollands Kroon,600
2014,Medemblik,Hoorn,3200
2014,Medemblik,Koggenland,400
2014,Medemblik,Lelystad,100
2014,Medemblik,Medemblik,6300
2014,Medemblik,Opmeer,500
2014,Medemblik,Purmerend,400
2014,Medemblik,Schagen,200
2014,Medemblik,Stede Broec,400
2014,Medemblik,Texel,100
2014,Medemblik,Utrecht (gem),100
2014,Medemblik,Velsen,100
2014,Medemblik,Westland,100
2014,Medemblik,Zaanstad,400
2014,Opmeer,Alkmaar,400
2014,Opmeer,Amsterdam,300
2014,Opmeer,Den Helder,100
2014,Opmeer,Dijk en Waard,500
2014,Opmeer,Haarlemmermeer,100
2014,Opmeer,Hollands Kroon,100
2014,Opmeer,Hoorn,500
2014,Opmeer,Koggenland,400
2014,Opmeer,Medemblik,500
2014,Opmeer,Opmeer,1600
2014,Opmeer,Purmerend,100
2014,Opmeer,Schagen,100
2014,Opmeer,Velsen,100
2014,Opmeer,Zaanstad,100
2014,Schagen,'s-Gravenhage,100
2014,Schagen,Alkmaar,2500
2014,Schagen,Amsterdam,900
2014,Schagen,Arnhem,100
2014,Schagen,Bergen (NH.),500
2014,Schagen,Beverwijk,200
2014,Schagen,Castricum,100
2014,Schagen,Den Helder,1500
2014,Schagen,Dijk en Waard,1900
2014,Schagen,Haarlem,300
2014,Schagen,Haarlemmermeer,400
2014,Schagen,Heemskerk,100
