Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2018/2019;Nederland;Nederland;Totaal;Totaal;697636.00
2018/2019;Nederland;Nederland;Totaal;Economie;201397.00
2018/2019;Nederland;Nederland;Totaal;Gedrag en maatschappij;93752.00
2018/2019;Nederland;Nederland;Totaal;Gezondheidszorg;80376.00
2018/2019;Nederland;Nederland;Totaal;Landbouw en natuurlijke omgeving;22659.00
2018/2019;Nederland;Nederland;Totaal;Natuur;29172.00
2018/2019;Nederland;Nederland;Totaal;Onderwijs;58781.00
2018/2019;Nederland;Nederland;Totaal;Recht;27351.00
2018/2019;Nederland;Nederland;Totaal;Sectoroverstijgend;9262.00
2018/2019;Nederland;Nederland;Totaal;Taal en cultuur;42327.00
2018/2019;Nederland;Nederland;Totaal;Techniek;132559.00
2018/2019;Nederland;Nederland;Totaal;Totaal energietransitie;161731.00
2018/2019;Nederland;Nederland;HBO;Totaal;437522.00
2018/2019;Nederland;Nederland;HBO;Economie;164024.00
2018/2019;Nederland;Nederland;HBO;Gedrag en maatschappij;50274.00
2018/2019;Nederland;Nederland;HBO;Gezondheidszorg;47417.00
2018/2019;Nederland;Nederland;HBO;Landbouw en natuurlijke omgeving;11362.00
2018/2019;Nederland;Nederland;HBO;Onderwijs;57209.00
2018/2019;Nederland;Nederland;HBO;Sectoroverstijgend;269.00
2018/2019;Nederland;Nederland;HBO;Taal en cultuur;14424.00
2018/2019;Nederland;Nederland;HBO;Techniek;92543.00
2018/2019;Nederland;Nederland;HBO;Totaal energietransitie;92543.00
2018/2019;Nederland;Nederland;WO;Totaal;260114.00
2018/2019;Nederland;Nederland;WO;Economie;37373.00
2018/2019;Nederland;Nederland;WO;Gedrag en maatschappij;43478.00
2018/2019;Nederland;Nederland;WO;Gezondheidszorg;32959.00
2018/2019;Nederland;Nederland;WO;Landbouw en natuurlijke omgeving;11297.00
2018/2019;Nederland;Nederland;WO;Natuur;29172.00
2018/2019;Nederland;Nederland;WO;Onderwijs;1572.00
2018/2019;Nederland;Nederland;WO;Recht;27351.00
2018/2019;Nederland;Nederland;WO;Sectoroverstijgend;8993.00
2018/2019;Nederland;Nederland;WO;Taal en cultuur;27903.00
2018/2019;Nederland;Nederland;WO;Techniek;40016.00
2018/2019;Nederland;Nederland;WO;Totaal energietransitie;69188.00
2018/2019;Provincie;Drenthe;Totaal;Totaal;12045.00
2018/2019;Provincie;Drenthe;Totaal;Economie;3781.00
2018/2019;Provincie;Drenthe;Totaal;Gedrag en maatschappij;1567.00
2018/2019;Provincie;Drenthe;Totaal;Gezondheidszorg;1473.00
2018/2019;Provincie;Drenthe;Totaal;Landbouw en natuurlijke omgeving;323.00
2018/2019;Provincie;Drenthe;Totaal;Natuur;341.00
2018/2019;Provincie;Drenthe;Totaal;Onderwijs;1609.00
2018/2019;Provincie;Drenthe;Totaal;Recht;291.00
2018/2019;Provincie;Drenthe;Totaal;Sectoroverstijgend;23.00
2018/2019;Provincie;Drenthe;Totaal;Taal en cultuur;434.00
2018/2019;Provincie;Drenthe;Totaal;Techniek;2203.00
2018/2019;Provincie;Drenthe;Totaal;Totaal energietransitie;2544.00
2018/2019;Provincie;Drenthe;HBO;Totaal;9978.00
